name,area,type,description
Cairo Jazz Club,Agouza,Live Music,"Iconic live music venue; jazz world and Egyptian music"
Crimson Bar & Grill,Zamalek,Rooftop Bar,"Posh rooftop; cocktails Nile views; Zamalek's trendiest crowd"
The Tap East,Maadi,Pub,Popular expat pub in Maadi
Pub 28,Zamalek,Pub,Zamalek pub
Harry's Pub,Maadi,Pub,Popular expat pub and restaurant
Nile Zamalek Hotel Roof Top,Zamalek,Rooftop Bar,Rooftop bar with Nile views
Opia Rooftop Lounge,Downtown,Rooftop Bar,"36th floor; panoramic Nile views; at Ramses Hilton"
Breezes Lounge & Grill,Downtown,Rooftop Lounge,Roof top dining and bar at Ramses Hilton
Sherlock Holmes Pub,Downtown,British Pub,British-style pub at Ramses Hilton
Kazan Restaurant,Zamalek,Restaurant/Bar,Kazan dining and drinks
Le J.Z.,Zamalek (Le Pacha),Nightclub,Chic nightspot at Le Pacha complex
Wekalet el-Ghouri,Islamic Cairo,Cultural Show,Whirling dervish Tanoura dance show nightly
Cairo Opera House,Zamalek,Performing Arts,"Ballet opera and concerts; October-June season"
Odeon Palace Roof,Downtown,Rooftop Bar,Rooftop terrace and bar
Piccolo Mondo,Zamalek (Le Pacha),Restaurant/Bar,Italian dining and drinks on the Nile
Sequoia,Zamalek,Restaurant/Lounge,Nile-front dining and lounge
Mohandiseen Clubs,Mohandiseen,Nightclub District,Hotspot for clubs and discos
Zamalek Nightlife,Zamalek,Entertainment District,"Rooftop lounges; bars; upscale nightlife hub"
Downtown Cairo Nightlife,Downtown,Entertainment District,"Khan el-Khalili area; traditional cafes and hookah"
Le Passage Casino,Heliopolis,Casino,Casino at Le Passage Hotel
Sonesta Casino,Nasr City,Casino,Casino at Sonesta Hotel
Omar Khayyam Casino,Zamalek,Casino,Casino at Cairo Marriott
Semiramis Casino,Garden City,Casino,Casino at InterContinental Semiramis
Ramses Hilton Casino,Downtown,Casino,Casino at Ramses Hilton
Nox Rooftop Bar,Downtown,Rooftop Bar,"Rooftop bar at Nile Ritz-Carlton; best Nile sunset views"
